"location","country_code_n_missing","Date_n_missing","infections_mean_n_missing","infections_lower_n_missing","infections_upper_n_missing","cases_mean_7d_n_missing","case_ascert_n_missing","country_code_n_zeros","Date_n_zeros","infections_mean_n_zeros","infections_lower_n_zeros","infections_upper_n_zeros","cases_mean_7d_n_zeros","case_ascert_n_zeros"
"Singapore",0,0,148,148,148,0,148,0,0,NA,NA,NA,23,NA
"Sint Maarten (Dutch part)",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,216,NA
"Slovakia",0,0,148,148,148,0,152,0,0,NA,NA,NA,58,NA
"Slovenia",0,0,148,148,148,0,151,0,0,NA,NA,NA,56,NA
"Solomon Islands",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,954,NA
"Somalia",0,0,152,152,152,0,166,0,0,NA,NA,NA,338,NA
"South Africa",0,0,149,149,149,0,152,0,0,NA,NA,NA,70,NA
"South America",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,50,NA
"South Korea",0,0,147,147,147,0,147,0,0,NA,NA,NA,11,NA
"South Sudan",0,0,148,148,148,0,182,0,0,NA,NA,NA,290,NA
"Spain",0,0,148,148,148,0,148,0,0,NA,NA,NA,15,NA
"Sri Lanka",0,0,148,148,148,4,152,0,0,NA,NA,NA,NA,NA
"Sudan",0,0,148,148,148,0,159,0,0,NA,NA,NA,98,NA
"Suriname",0,0,160,160,160,0,172,0,0,NA,NA,NA,227,NA
"Sweden",0,0,160,160,160,0,160,0,0,NA,NA,NA,46,NA
"Switzerland",0,0,156,156,156,0,156,0,0,NA,NA,NA,50,NA
"Syria",0,0,149,149,149,0,169,0,0,NA,NA,NA,186,NA
"Taiwan",0,0,0,0,0,1043,1043,0,0,0,0,0,NA,NA
"Tajikistan",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,771,NA
"Tanzania",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,530,NA
"Thailand",0,0,140,140,140,19,159,0,0,NA,NA,NA,NA,NA
"Timor",0,0,148,148,148,0,167,0,0,NA,NA,NA,309,NA
"Togo",0,0,148,148,148,0,152,0,0,NA,NA,NA,65,NA
"Tokelau",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,1184,NA
"Tonga",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,877,NA
"Trinidad and Tobago",0,0,154,154,154,0,166,0,0,NA,NA,NA,124,NA
"Tunisia",0,0,154,154,154,0,156,0,0,NA,NA,NA,67,NA
"Turkey",0,0,163,163,163,0,172,0,0,NA,NA,NA,207,NA
"Turkmenistan",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,1191,NA
"Turks and Caicos Islands",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,262,NA
"Tuvalu",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,1136,NA
"Uganda",0,0,155,155,155,0,174,0,0,NA,NA,NA,113,NA
"Ukraine",0,0,152,152,152,0,152,0,0,NA,NA,NA,61,NA
"United Arab Emirates",0,0,144,144,144,0,144,0,0,NA,NA,NA,21,NA
"United Kingdom",0,0,144,144,144,0,144,0,0,NA,NA,NA,24,NA
"United States",0,0,148,148,148,0,148,0,0,NA,NA,NA,18,NA
"United States Virgin Islands",0,0,148,148,148,6,166,0,0,NA,NA,NA,NA,NA
"Upper middle income",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,0,NA
"Uruguay",0,0,148,148,148,0,160,0,0,NA,NA,NA,92,NA
"Uzbekistan",0,0,148,148,148,0,161,0,0,NA,NA,NA,68,NA
"Vanuatu",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,908,NA
